city,lat,lng,group
Zacatlán,19.9319,-97.96,C
Tlanchinol,19.9892,-98.6786,C
Ixtapan de la Sal,18.8333,-99.6833,C
Paso de Ovejas,19.285,-96.44,A
Tulum,20.2119,-87.4658,A
Pánuco,22.05,-98.1833,A
Temascalapa,19.8,-98.9,C
Villanueva,22.3536,-102.8831,B
San Felipe,21.4833,-101.2167,B
Ticul,20.3953,-89.5339,A
Sayula de Alemán,17.8833,-94.95,A
Putla Villa de Guerrero,17.0167,-97.9167,A
Nueva Italia de Ruiz,19.0194,-102.1089,B
Huixtla,15.1383,-92.4658,A
Ciudad Sabinas Hidalgo,26.5,-100.1833,B
Paso del Macho,18.9667,-96.7167,A
Turicato,19.05,-101.4167,B
El Oro de Hidalgo,19.8008,-100.1314,C
Amatenango de la Frontera,15.5333,-92.0833,A
Amecameca de Juárez,19.75,-99.1711,C
Tecozautla,20.5333,-99.6333,B
Cuauhtémoc,19.3281,-103.6028,A
Tequila,20.8828,-103.8367,A
Tancítaro,19.3378,-102.3625,C
Rodolfo Sánchez Taboada,31.7958,-116.5911,B
Champotón,19.35,-90.7167,A
Juanacatlán,20.5,-103.1667,C
Capulhuac,19.2,-99.4667,C
Jonuta,18.0833,-92.1333,A
Escuinapa,22.835,-105.778,A
Tepetlaoxtoc,19.5731,-98.8203,C
Magdalena de Kino,30.6167,-111.05,B
Temascaltepec de González,19.0433,-100.0414,C
Huatabampo,27.05,-109.4167,B
San Salvador El Seco,19.1333,-97.65,C
Ometepec,16.6833,-98.4167,A
Nanchital de Lázaro Cárdenas del Río,18.0667,-94.4167,A
Villa Donato Guerra,19.3083,-100.1422,C
Xalatlaco,19.1811,-99.4164,C
Escárcega,18.6067,-90.7344,A
Juchitepec,19.0997,-98.8792,C
San Rafael,20.1889,-96.8658,A
Actopan,20.2681,-98.9442,B
Zapotiltic,19.627,-103.417,C
San Fernando,24.8504,-98.16,C
Ozumba,19.0392,-98.7936,C
Teapa,17.5483,-92.953,A
Reforma,17.8658,-93.1472,A
Úrsulo Galván,19.4,-96.3,A
Abasolo,20.45,-101.517,C
Las Rosas,16.3667,-92.35,C
Navolato,24.7656,-107.7019,B
San Salvador,20.2833,-99.0153,B
Ciudad Sahagun,19.7714,-98.5803,C
