name,state,population,latitude,longitude
Temascalapa,México,33063.0,19.8,-98.9
Villanueva,Zacatecas,32835.0,22.3536,-102.8831
San Felipe,Guanajuato,32831.0,21.4833,-101.2167
Ticul,Yucatán,32796.0,20.3953,-89.5339
Sayula de Alemán,Veracruz,32721.0,17.8833,-94.95
Putla Villa de Guerrero,Oaxaca,32640.0,17.0167,-97.9167
Nueva Italia de Ruiz,Michoacán,32467.0,19.0194,-102.1089
Huixtla,Chiapas,32109.0,15.1383,-92.4658
Ciudad Sabinas Hidalgo,Nuevo León,32047.0,26.5,-100.1833
Paso del Macho,Veracruz,31890.0,18.9667,-96.7167
Turicato,Michoacán,31877.0,19.05,-101.4167
El Oro de Hidalgo,México,31847.0,19.8008,-100.1314
Amatenango de la Frontera,Chiapas,31735.0,15.5333,-92.0833
Amecameca de Juárez,México,31687.0,19.75,-99.1711
Tecozautla,Hidalgo,31609.0,20.5333,-99.6333
Cuauhtémoc,Colima,31267.0,19.3281,-103.6028
Tequila,Jalisco,31115.0,20.8828,-103.8367
Tancítaro,Michoacán,31100.0,19.3378,-102.3625
Rodolfo Sánchez Taboada,Baja California,31006.0,31.7958,-116.5911
Champotón,Campeche,30881.0,19.35,-90.7167
Juanacatlán,Jalisco,30855.0,20.5,-103.1667
Capulhuac,México,30838.0,19.2,-99.4667
Jonuta,Tabasco,30798.0,18.0833,-92.1333
Escuinapa,Sinaloa,30790.0,22.835,-105.778
Tepetlaoxtoc,México,30680.0,19.5731,-98.8203
Magdalena de Kino,Sonora,30429.0,30.6167,-111.05
Temascaltepec de González,México,30336.0,19.0433,-100.0414
Huatabampo,Sonora,30324.0,27.05,-109.4167
San Salvador El Seco,Puebla,30303.0,19.1333,-97.65
Ometepec,Guerrero,30271.0,16.6833,-98.4167
Nanchital de Lázaro Cárdenas del Río,Veracruz,30039.0,18.0667,-94.4167
Villa Donato Guerra,México,29621.0,19.3083,-100.1422
Xalatlaco,México,29572.0,19.1811,-99.4164
Escárcega,Campeche,29477.0,18.6067,-90.7344
Juchitepec,México,29436.0,19.0997,-98.8792
San Rafael,Veracruz,29277.0,20.1889,-96.8658
Actopan,Hidalgo,29223.0,20.2681,-98.9442
Zapotiltic,Jalisco,29190.0,19.627,-103.417
San Fernando,Tamaulipas,29171.0,24.8504,-98.16
Ozumba,México,29114.0,19.0392,-98.7936
Teapa,Tabasco,29068.0,17.5483,-92.953
Reforma,Chiapas,29018.0,17.8658,-93.1472
Úrsulo Galván,Veracruz,29005.0,19.4,-96.3
Abasolo,Guanajuato,29002.0,20.45,-101.517
Las Rosas,Chiapas,28829.0,16.3667,-92.35
Navolato,Sinaloa,28676.0,24.7656,-107.7019
San Salvador,Hidalgo,28637.0,20.2833,-99.0153
Ciudad Sahagun,Hidalgo,28609.0,19.7714,-98.5803
Cuitzeo del Porvenir,Michoacán,28227.0,19.9686,-101.1394
Zacoalco de Torres,Jalisco,28205.0,20.2333,-103.5833
Metepec,México,28205.0,19.2511,-99.6047
Tetela de Ocampo,Puebla,28139.0,19.8167,-97.8
Xochistlahuaca,Guerrero,28089.0,16.7914,-98.2419
San Felipe Jalapa de Díaz,Oaxaca,27979.0,18.0667,-96.5333
Nochistlán de Mejía,Zacatecas,27932.0,21.3642,-102.8464
Quiroga,Michoacán,27862.0,19.6667,-101.5333
