"","city","lat","lng","group"
"467","Los Reyes de Juárez",18.9458,-97.8058,"C"
"468","Tuxpan",19.5661,-100.4625,"C"
"469","Jalpan",21.2167,-99.4725,"C"
"470","Castaños",26.7833,-101.4167,"B"
"471","Cuerámaro",20.6258,-101.6739,"C"
"472","Tepehuacán de Guerrero",21.0131,-98.8442,"C"
"473","San Agustín Tlaxiaca",20.1144,-98.8867,"C"
"474","Villagrán",20.517,-100.983,"B"
"475","Amatepec",18.65,-100.15,"A"
"476","Nava",28.4214,-100.7675,"C"
"477","Atitalaquia",20.0583,-99.2208,"B"
"478","Acapetahua",15.2333,-92.7667,"A"
"479","Paracuaro",19.1467,-102.2194,"B"
"480","Tlaxcoapan",20.0953,-99.22,"B"
"481","Miacatlán",18.7722,-99.3547,"A"
"482","Cuajinicuilapa",16.4717,-98.4153,"A"
"483","Tecolutla",20.4797,-97.01,"A"
"484","Jaltenco",19.7511,-99.0931,"C"
"485","Tehuipango",18.5167,-97.05,"C"
"486","Santiago Papasquiaro",25.0439,-105.4192,"B"
"487","Tuxpan",21.8667,-105.45,"A"
"488","Huaquechula",18.7667,-98.55,"A"
"489","Puerto Escondido",15.8619,-97.0672,"A"
"490","Ciudad Altamirano",18.3472,-100.6531,"A"
"491","Tecax",20.2019,-89.2881,"A"
"492","Felipe Carrillo Puerto",19.5786,-88.0453,"A"
"493","Huejotzingo",19.1619,-98.4064,"C"
"494","Arriaga",16.2361,-93.8995,"A"
"495","Pinal de Amoles",21.1342,-99.4586,"C"
"496","Acatlán",20.2333,-103.5333,"B"
"497","Atlatlahucan",18.935,-98.9,"A"
"498","Miahuatlán",18.5667,-97.4333,"B"
"499","Álamo",20.9167,-97.675,"A"
"500","Santa María Tonameca",15.7458,-96.5472,"B"
"501","Sultepec",18.8667,-99.95,"C"
"502","Hunucmá",21.0153,-89.8744,"B"
"503","Ixhuatlancillo",18.9,-97.15,"C"
"504","Jamay",20.29,-102.71,"C"
"505","Zumpango del Río",17.65,-99.5,"B"
"506","Carlos A. Carrillo",18.3667,-95.75,"A"
"507","Amatán",17.3667,-92.8167,"A"
"508","San Agustín Loxicha",16.0167,-96.6167,"C"
"509","Las Margaritas",16.3159,-91.9816,"C"
"510","El Salto",23.7823,-105.3585,"C"
"511","Santa María Colotepec",15.8833,-96.9167,"A"
"512","Manlio Fabio Altamirano",19.1003,-96.3411,"A"
"513","Tantoyuca",21.35,-98.2333,"A"
"514","San Miguel Ocotenco",19.0666,-97.4525,"C"
"515","Ciudad Serdán",18.9833,-97.45,"C"
"516","Atotonilco el Grande",20.6667,-98.6667,"C"
